Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Tuesday Apr 5,boxscore,BOS,@,CLE,W,6,2,,1-0,1,Tied,Price,Kluber,,3:13,D,34493,+,2016-04-04 (Cold)
2,Wednesday Apr 6,boxscore,BOS,@,CLE,L,6,7,,1-1,2,1.0,McAllister,Tazawa,Allen,3:29,N,10298,-,
3,Friday Apr 8,boxscore,BOS,@,TOR,W,8,7,,2-1,2,1.5,Barnes,Storen,Kimbrel,3:24,N,48871,+,
4,Saturday Apr 9,boxscore,BOS,@,TOR,W,8,4,,3-1,2,1.0,Porcello,Dickey,,2:48,D,47138,++,
5,Sunday Apr 10,boxscore,BOS,@,TOR,L,0,3,,3-2,2,2.0,Estrada,Wright,Osuna,2:27,D,46158,-,
6,Monday Apr 11,boxscore,BOS,,BAL,L,7,9,,3-3,3,3.0,Brach,Kimbrel,Britton,3:26,D,37160,--,
7,Tuesday Apr 12,boxscore,BOS,,BAL,L,5,9,,3-4,3,4.0,Wright,Buchholz,,3:23,N,31114,---,
8,Wednesday Apr 13,boxscore,BOS,,BAL,W,4,2,,4-4,3,3.0,Kelly,Jimenez,Kimbrel,3:13,N,31011,+,
9,Friday Apr 15,boxscore,BOS,,TOR,W,5,3,,5-4,2,2.5,Porcello,Dickey,Kimbrel,3:02,N,31415,++,
10,Saturday Apr 16,boxscore,BOS,,TOR,W,4,2,,6-4,2,1.5,Price,Estrada,Kimbrel,2:43,D,36267,+++,
11,Sunday Apr 17,boxscore,BOS,,TOR,L,3,5,,6-5,2,2.0,Sanchez,Wright,,3:09,D,37217,-,
12,Monday Apr 18,boxscore,BOS,,TOR,L,3,4,,6-6,2,2.5,Happ,Uehara,Storen,3:12,D,37168,--,
13,Tuesday Apr 19,boxscore,BOS,,TBR,L,0,3,10,6-7,3,2.5,Ramirez,Barnes,Colome,3:25,N,32061,---,
14,Wednesday Apr 20,boxscore,BOS,,TBR,W,7,3,,7-7,2,2.5,Porcello,Archer,,3:02,N,31689,+,
