Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Monday May 24,boxscore,BOS,@,TBR,W,6,1,,25-21,4,7.5,Buchholz,Davis,,3:08,N,21430,+++,
47,Tuesday May 25,boxscore,BOS,@,TBR,W,2,0,,26-21,4,6.5,Lester,Shields,Papelbon,2:53,N,24310,++++,
48,Wednesday May 26,boxscore,BOS,@,TBR,W,11,3,,27-21,3,5.5,Lackey,Garza,,3:23,N,22147,+++++,
49,Thursday May 27,boxscore,BOS,,KCR,L,3,4,,27-22,3,6.5,Bannister,Matsuzaka,Soria,3:03,N,37940,-,
50,Friday May 28,boxscore,BOS,,KCR,L,5,12,,27-23,4,6.5,Davies,Wakefield,,3:05,N,37945,--,
51,Saturday May 29,boxscore,BOS,,KCR,W,1,0,,28-23,4,6.5,Buchholz,Greinke,Papelbon,2:46,N,37956,+,
52,Sunday May 30,boxscore,BOS,,KCR,W,8,1,,29-23,4,5.5,Lester,Thompson,,2:46,D,37581,++,
53,Tuesday Jun 1,boxscore,BOS,,OAK,W,9,4,,30-23,4,5.0,Lackey,Ross,,3:29,N,37337,+++,
54,Wednesday Jun 2,boxscore,BOS,,OAK,W,6,4,,31-23,3,5.0,Matsuzaka,Sheets,Papelbon,2:53,N,37783,++++,
55,Thursday Jun 3,boxscore,BOS,,OAK,L,8,9,,31-24,3,5.5,Mazzaro,Wakefield,Bailey,3:17,D,37386,-,
56,Friday Jun 4,boxscore,BOS,@,BAL,W,11,0,,32-24,3,4.5,Buchholz,Tillman,,3:01,N,30070,+,
57,Saturday Jun 5,boxscore,BOS,@,BAL,W,8,2,,33-24,3,3.5,Lester,Guthrie,,3:14,N,40001,++,
58,Sunday Jun 6,boxscore,BOS,@,BAL,L-wo,3,4,11,33-25,3,4.5,Hernandez,Okajima,,4:20,D,27774,-,
59,Monday Jun 7,boxscore,BOS,@,CLE,W,4,1,,34-25,3,4.0,Matsuzaka,Hernandez,,3:00,N,14758,+,
60,Tuesday Jun 8,boxscore,BOS,@,CLE,W,3,2,,35-25,3,4.0,Wakefield,Huff,Bard,2:56,N,15462,++,
61,Wednesday Jun 9,boxscore,BOS,@,CLE,L,0,11,,35-26,3,5.0,Masterson,Buchholz,,2:42,N,14022,-,
62,Thursday Jun 10,boxscore,BOS,@,CLE,L-wo,7,8,,35-27,3,5.0,Wood,Bard,,3:48,N,20446,--,
63,Friday Jun 11,boxscore,BOS,,PHI,W,12,2,,36-27,3,4.0,Lackey,Moyer,,2:43,N,38021,+,
64,Saturday Jun 12,boxscore,BOS,,PHI,W,10,2,,37-27,3,4.0,Delcarmen,Blanton,,3:20,D,37061,++,
65,Sunday Jun 13,boxscore,BOS,,PHI,L,3,5,,37-28,3,4.0,Hamels,Wakefield,Lidge,2:57,D,37230,-,
